	Taxonomy	CXD_0801_FDSW210423161-1r	CXD_0802_FDSW210423162-1r	CXD_0803_FDSW210423163-1r	CXD_0804_FDSW210423164-1r	CXD_0805_FDSW210423165-1r	CXD_0807_FDSW210423167-1r	CXD_1001_FDSW210423173-1r	CXD_1003_FDSW210423175-1r	CXD_1004_FDSW210423176-1r	CXD_1007_FDSW210423179-1r	CXD_1009_FDSW210423181-1r	CXD_1015_FDSW210423187-1r	CXD_1201_FDSW210423188-1r	CXD_1202_FDSW210423189-1r	CXD_1203_FDSW210423190-1r	CXD_1213_FDSW210423200-1r	CXD_1214_FDSW210423201-1r	CXD_1215_FDSW210423202-1r	CXD_0204_FDSW210423206-1r	CXD_0209_FDSW210423211-1r	CXD_0210_FDSW210423212-1r	CXD_0213_FDSW210423215-1r	CXD_0214_FDSW210423216-1r	CXD_0215_FDSW210423217-1r	CXD_1401_FDSW210423218-1r	CXD_1402_FDSW210423219-1r	CXD_1408_FDSW210423225-1r	CXD_1412_FDSW210423229-1r	CXD_1414_FDSW210423231-1r	CXD_1415_FDSW210423232-1r	CXD_1604_FDSW210423236-1r	CXD_1609_FDSW210423241-1r	CXD_1610_FDSW210423242-1r	CXD_1611_FDSW210423243-1r	CXD_1612_FDSW210423244-1r	CXD_1613_FDSW210423245-1r
QD_2020_08_bin_22	Actinobacteria	13.38277749	21.7830348	19.62889182	13.92176373	21.80519388	13.14508598	22.20196945	16.93628474	15.42847164	10.5844606	10.01548686	15.15934448	18.0531376	22.25390697	16.23886683	12.99959764	12.92509882	16.9768212	19.14449402	10.77504833	7.914774352	16.57231573	15.58356186	15.58301937	15.49632142	13.98783181	14.58212082	3.543391446	9.479091614	6.746586538	16.66381152	14.08514267	14.04161379	15.46601132	14.02932564	12.88694704
QD_2020_08_bin_336	Actinobacteria	55.97182081	39.42812511	17.75795136	32.82644083	46.31258805	23.31827216	51.87451743	42.450617	24.74254974	8.693578212	15.81914168	23.47052486	42.72525474	32.13696458	26.37903842	14.49011112	15.8016669	20.11133111	17.53704691	13.25184565	8.943605199	15.28491885	14.29133729	14.20032397	30.00586576	19.14645839	19.62643578	0	13.44697599	10.07013139	15.42664726	13.93807032	19.22024059	22.78829921	28.62936683	17.15791094
QD_2020_10_bin_212	Actinobacteria	10.04158543	11.6962881	17.62925549	11.55740637	27.15828621	23.51305245	21.49772127	45.00082328	22.67356612	13.33883607	13.6692398	10.94890828	20.23816729	19.71119528	14.08964901	9.354316103	9.625775454	10.82837899	19.39771761	14.33429232	9.135342883	15.40917694	19.78227243	10.5890131	13.17865411	29.58544047	11.94216231	0	9.576344667	3.759972197	20.68896627	9.740883154	7.156545128	14.65948171	13.97909107	19.46767176
QD_2020_12_bin_55	Actinobacteria	21.94623302	23.84124895	25.07300257	19.14800805	44.58212219	19.77975143	55.18649313	31.72582036	34.99403135	10.11400673	22.13119441	29.04141165	42.73373583	52.24857895	33.45878648	26.81634612	28.49436207	40.99547576	42.8167268	26.90926064	17.20885451	39.12245274	38.84855	32.44884056	26.06721278	26.4486193	23.80503322	0	22.7667892	22.84766393	31.94531346	20.87075217	48.12150315	47.84728753	40.47223997	42.20949111
QD_2021_04_bin_276	Actinobacteria	8.886142266	12.26029392	12.155476	13.42910201	17.86395055	14.02626731	10.59597112	12.9368313	10.89544653	6.988231903	7.81103013	9.403766281	7.959654917	11.25980733	8.635173152	6.983363679	9.585074005	8.403470279	12.54073395	12.17458546	13.07712052	16.01806302	12.95000512	9.85747793	12.5056036	10.84608916	19.00694676	0	6.654343932	4.27603963	10.31452393	13.53399527	3.459611239	5.612183352	5.773956788	4.4024089
QD_2021_06_bin_203	Actinobacteria	13.93230422	16.32120855	11.79710216	16.51227957	31.72407585	15.73306403	39.82053338	25.75040964	21.36619326	6.08297509	15.42700555	19.35190032	34.74300566	36.35223958	22.34870827	14.74199469	18.23940397	24.36754272	37.74847824	25.79248914	16.75167558	35.62567125	34.49900714	27.84221356	22.87233706	24.44355528	24.26976172	0	14.19741577	10.52599635	23.32390168	16.66757095	24.68120634	27.77253251	21.30340334	24.46336336
QD_2021_06_bin_219	Actinobacteria	2.14843381	2.917812212	2.663525083	0.899713023	3.023370801	1.926244342	6.773997373	2.90904724	2.625759755	1.150214614	1.268060456	2.876114964	6.033577494	6.599927841	5.209745425	2.499378576	2.481404012	3.910632189	4.516477752	1.936303532	0.938555103	3.704692465	3.538375411	4.186569631	3.664902866	3.023366053	2.508607386	1.0624174	1.367463308	0.958739718	3.587805607	1.555541629	9.212293496	8.490311277	5.858192334	7.076843506
QD_2021_04_bin_172	Actinobacteria	5.020186602	7.032141532	7.502980782	4.320125905	7.538928643	6.735711116	7.386974929	7.372444092	7.062802273	2.971780232	3.371065594	5.982842534	3.952301528	5.735415845	3.757197928	4.209245219	4.085930418	4.444758243	4.460903648	4.824255225	3.568527031	4.378612479	4.022967633	3.625292947	5.376488239	4.848210356	5.173709793	1.206234085	4.881957747	4.710523277	4.464033076	3.829064181	3.804516246	4.404938934	5.781728596	3.129277141
QD_2021_02_bin_165	Actinobacteria	6.105172185	0	2.937049495	2.546395531	11.25544467	7.431769081	56.32544443	68.56992464	17.6393553	2.942665672	4.232439837	1.197854024	30.76934951	31.16034942	17.39324274	3.308044965	3.764618093	7.852731412	29.26080936	3.970865544	8.207202723	13.78214053	15.10451798	16.39803884	32.03052103	57.08388929	4.264803775	0.481774094	0.023107543	0	21.22997079	1.379529819	0.231413806	1.027403937	3.441722612	2.891091233
QD_2020_08_bin_81	Alphaproteobacteria	11.89703983	20.49987472	10.33295923	13.10989193	14.04254453	8.972381381	15.40512076	15.04949936	16.39522497	10.14849224	12.7206549	16.25010026	11.77194203	16.78315135	17.30268289	17.87319554	15.97817503	16.2652028	10.39604578	11.23317954	11.40824805	12.14609111	12.48179409	13.59074177	7.199098465	2.652855857	8.442832041	24.83537952	15.2225515	19.13220813	5.880954558	9.646026085	20.476238	17.90653626	20.00512992	15.8982118
QD_2021_04_bin_60	Alphaproteobacteria	5.299783979	7.18715663	8.008507791	5.595018836	9.06553782	6.83467819	8.380493089	10.63820731	7.035920402	6.720853298	4.787821723	7.752567321	8.3606554	8.991306119	7.610969544	6.58148288	6.498394575	6.985930191	6.38960002	6.590488483	5.077508955	5.553264264	5.287980871	5.668225999	9.400693742	8.137825115	10.35357404	4.015942582	5.427377506	4.184495925	7.860954397	6.608644136	4.335517335	5.315184069	4.690392399	5.387114247
QD_2020_08_bin_68	Alphaproteobacteria	8.891726031	13.14542619	15.05618968	11.25133465	14.97572334	16.7332822	13.68136995	19.98989001	13.37876992	13.81918543	11.96737136	15.74833062	13.26339046	16.21320173	12.34744802	12.75279107	14.26177546	11.19358175	12.14481218	12.75964732	15.78397664	13.47850714	11.88606551	11.95355159	11.21670778	14.89141091	17.58186372	0.172497606	11.16105149	7.838336063	14.97654971	15.07311743	7.922067976	9.458377347	8.461330371	8.232097549
QD_2021_06_bin_139	Alphaproteobacteria	24.95646534	35.17917676	20.21398643	24.97546316	23.47167021	16.41186904	28.01168589	23.38149264	23.85401191	12.82511767	17.12922913	28.45147268	22.47038415	25.6594879	21.7113481	23.5269909	21.27127734	22.48470495	17.90982108	19.5787722	18.75245313	16.68637869	15.37370688	17.89520497	24.94919525	22.0843925	18.69724542	2.503223772	18.2293869	18.7036264	27.80600931	18.42904694	11.97968703	12.48161117	14.13852591	10.12941277
QD_2020_12_bin_20	Alphaproteobacteria	52.55938696	19.3573094	3.143082364	18.45813357	12.87497691	4.139199409	69.37936791	94.56140037	10.2915025	2.055663228	6.579655322	1.772402367	100.5378351	41.44465761	42.20275943	4.724910856	12.26234285	14.6496339	18.11597424	2.087221721	6.212178708	4.237145546	4.001067151	12.11870594	32.5892083	39.82325298	2.855432932	0	0	0	52.16644818	0.405881501	0.124336498	0.624593674	1.101497446	0.298674276
QD_2020_10_bin_103	Alphaproteobacteria	15.71668297	25.24464674	20.63601943	18.15723221	24.3414678	15.44154696	47.04719026	24.71455738	28.16515544	13.74347324	15.20340328	29.33600377	33.58269605	38.92885119	29.62134042	28.32956334	22.04827267	27.48410244	26.0900599	18.95605683	19.49518209	20.2266917	18.46108723	21.97190644	28.51807914	27.12595856	29.43729712	0.027186448	17.84824745	20.29067303	26.46356764	17.95110429	19.69171494	19.66929138	18.09733377	15.33050415
QD_2020_10_bin_78	Alphaproteobacteria	17.85660612	7.817237694	7.430046566	9.622376781	14.17920976	27.82766101	20.52027434	11.54915989	24.51270182	2.171658075	11.32308903	12.02646634	19.7839348	13.26180328	12.83463802	6.556785446	6.543537342	9.580212173	23.013471	2.551144277	2.628433485	3.775670106	3.892511542	6.363510247	3.90948311	0.835262661	0.155694169	1.923141035	1.251604049	0.996694803	0.150736943	0.438886993	0.164271211	0.30780599	0.693537619	0.089512841
QD_2021_06_bin_10	Alphaproteobacteria	25.80641195	144.9770998	165.6970904	140.1099648	48.49059592	64.75074165	86.94701907	32.15446539	74.60910923	41.38814029	61.63660124	48.7836357	68.84085506	67.06742828	123.5541082	59.61518969	47.86908337	45.34489087	83.77162447	85.45873463	52.8127697	25.58639417	20.95322631	32.70314445	95.07971292	69.91908548	26.67287667	0.336367521	12.70776276	7.901511701	49.07464403	64.43067724	3.631156507	7.044204832	9.176587114	4.20408954
QD_2021_02_bin_125	Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.55286204	9.732430978	3.397115856	55.44828846	61.03841839	13.49413816	1.842236941	0.852530252	1.647096973	0	0.904803892	0.931780461	0	0	0.036832226	0.086698901	0	0
QD_2020_12_bin_158	Alphaproteobacteria	11.10915158	3.088217878	9.113462327	18.06908871	29.60971563	15.78340811	55.86894089	100.0711429	31.12642469	13.25770449	34.01078211	22.46217242	47.69859983	55.11846252	54.19755015	32.2217825	44.60488055	44.57958236	25.79126522	17.98867615	56.82244843	27.95120691	26.95119344	37.54418521	24.57628052	22.7176543	16.56260502	0	5.667769985	3.489731946	19.08037253	8.022631367	3.215300152	6.227026219	8.079634895	6.481713944
QD_2021_04_bin_280	Alphaproteobacteria	1.093561308	0.891211744	1.305829383	0.606443342	0	0	0.062294519	0	0	0	0	0	0.168632792	0.078497159	0.025498937	0	0	0	0.047571938	0	0	0	0	0	31.12992879	58.73702609	0	37.83473826	0	0	39.48653586	0	0	0	0	0
QD_2021_06_bin_94	Alphaproteobacteria	3.884269353	2.8492316	4.215428152	2.429340328	7.521894765	2.848418482	6.14797718	7.754092912	5.400523075	3.311013375	3.013793819	9.298732384	4.533338738	9.150572835	13.56132707	9.971964056	6.157941491	6.693030487	4.282703304	2.609963375	3.743561686	6.786769018	6.801630606	6.589729254	10.23858084	7.61923569	6.080264382	6.212211723	8.560173667	8.300073966	12.10251629	3.480179232	22.27975143	19.44299906	16.58701823	18.13272428
QD_2020_08_bin_16	Bacteroidetes	16.2926856	13.33432616	44.07312326	21.18463002	12.31444799	29.29145227	5.075817297	2.952296346	14.91078511	42.4978624	10.54374467	1.94640519	3.337310138	6.867962203	17.14872122	2.59496953	4.958398327	6.338278671	5.879738112	10.58457913	6.754787674	0.677457647	0.559920614	1.094139493	5.382719413	3.179427883	18.93920547	7.160382406	1.022247826	0.508630166	1.988378493	22.34919247	0	0.905480225	0.197152571	0.068500427
QD_2020_08_bin_45	Bacteroidetes	16.14599662	15.4288264	80.45506257	17.34876299	10.57426081	40.64142673	8.609028836	1.828740391	11.21956314	85.7253077	14.34652166	1.27525365	2.451029062	7.624325595	22.00003664	2.129712262	4.524428285	4.424968371	11.19201649	8.58422616	6.586150123	0.02363153	0	0.469716298	7.422416549	0	11.93104157	0	0.402458708	0.110015668	0	27.91214097	0	0	0	0
QD_2020_10_bin_165	Bacteroidetes	26.73079157	31.77927976	34.76804553	37.88423007	21.36533485	47.79362209	13.72694621	9.483191891	25.36243418	64.25861445	28.54744485	11.0903794	13.72003688	17.13987111	39.97006775	18.45538996	23.11856463	17.27354352	26.27562177	32.53566668	72.15751807	8.548365121	6.699415626	13.15519358	20.63930156	9.641184	72.19185893	0	9.988666241	7.074255032	9.137085756	95.03011337	1.463281476	4.118408378	4.688567809	3.349777535
QD_2020_10_bin_48	Bacteroidetes	14.81950832	20.17232251	16.67825936	18.04164727	20.44464089	12.06110049	30.7882914	21.81859659	18.99965898	13.69844195	18.38031483	19.51659436	30.87139855	28.76629566	26.14860188	17.86681115	16.65913954	20.40318211	17.99909239	17.72556532	12.37625868	9.310104419	8.062240415	13.4341045	17.38343506	16.74912166	19.1666702	7.862859151	11.3003903	9.496624771	16.6533943	18.25859111	7.24628732	7.31687694	7.265420976	6.204900952
QD_2020_10_bin_81	Bacteroidetes	28.92680193	25.53644064	227.1699754	33.60679812	23.67197291	80.42628979	15.56264492	7.372354752	33.03741233	186.5919431	30.52379455	3.09424028	8.098673783	14.69066668	53.12367127	8.122082606	12.98431494	21.83488229	15.51378092	31.07578473	23.35382177	2.511920527	1.906173592	4.988593391	42.89365818	23.67158375	32.93887736	0.418791838	0.783827633	0.200527655	13.90260265	67.60375803	1.595657259	2.240244074	0.552248565	0.726760905
QD_2020_10_bin_9	Bacteroidetes	11.91170691	25.60034954	35.66292874	30.50589266	14.24768851	27.26504514	12.01637345	8.33811087	19.73695879	39.3976301	13.05711939	5.900184753	11.43044455	11.10083694	17.39867993	5.976094374	6.134990688	7.595239892	18.83927354	8.041190247	5.474671752	1.520905772	0.955075118	2.238985806	22.89113027	22.09743993	27.27831884	0	3.332152171	3.514955588	40.78914967	28.06450654	0	1.075676624	1.681694788	0.626088215
QD_2020_12_bin_185	Bacteroidetes	34.07390546	61.12831493	52.78165296	48.5899939	52.37642035	40.89412538	75.95174154	44.7362056	52.01926542	43.63548886	56.26228956	67.33920008	67.78242635	75.23721232	75.67098819	63.09671816	52.42116158	57.11923447	54.28397429	65.12171941	42.12578138	32.48266809	29.28519769	39.2155893	55.14694906	50.31038651	63.94899921	0	46.11056694	42.05283958	58.28930538	63.58064731	38.041044	36.55669327	32.58149887	31.11248953
QD_2020_12_bin_64	Bacteroidetes	9.889741417	11.27341584	56.43156564	17.43765802	13.02166863	43.71029972	7.709319409	5.604415987	19.06729448	67.6390593	32.50106285	7.589304503	7.297946356	12.646097	23.9871133	19.85280547	15.54117935	10.34288915	18.02915339	22.67406248	31.4217839	2.66011411	1.487735386	2.945107206	8.668096672	0.342760499	19.71202404	0	7.404691162	5.850674666	0.504488215	46.08771832	0	0.867827053	1.887379992	0.838767401
QD_2021_04_bin_101	Bacteroidetes	0	0	0	0	0	0.798097461	0	0	0	0	0	0	0	0	0	0	0	0	0.770617574	0	2.394696777	0.019637409	0.045625618	2.885955613	2.883491255	1.012490275	46.82319568	21.09233888	0	0	0.013865633	3.154384819	0	0	0	0
QD_2020_08_bin_244	Bacteroidetes	12.44471159	1.026325796	64.73872964	9.251247245	9.422425504	20.5913662	1.770823751	0.771245601	7.212016485	55.82833375	5.525762435	2.213034728	0.594453857	2.420510871	13.13862929	2.592519604	5.448803761	12.6777188	0.973802126	3.104409873	2.420055336	0.075901199	0	0.522499066	4.986037342	1.155747745	1.864130787	0	0	0	0	10.01722525	0	0	0	0
QD_2020_08_bin_296	Bacteroidetes	4.161439603	3.019325579	37.53400324	5.674625837	3.755942024	14.17141563	1.182687233	0.813719599	5.788057679	36.25392065	4.892489583	0.205476005	0.060713212	1.201161009	3.605308691	1.421677487	1.155006676	2.123338623	0.811704224	3.940927512	1.378624902	0	0	0	0.850015812	0.571446268	1.644381347	0	0.075188463	0	0	13.38171401	0	0.344125377	0	0
QD_2020_08_bin_349	Bacteroidetes	20.49769482	0	35.24890666	6.92303415	3.836881084	24.73165117	0	0	2.005005546	33.17104399	0.729191242	0.315871039	0.122259722	0.712571919	5.942801298	0	0.271304796	0.162814278	0.511170352	0	0.242291095	0	0	0	0	0	0	0.971986037	0	0	0	0	0	0	0	0
QD_2020_08_bin_6	Bacteroidetes	1.006154174	0	26.36552717	1.237913272	1.274510361	3.45831189	0	0	0.413450069	20.21890929	0.667744813	0	0	0	0.218361007	0	0.000569752	0.08445003	0	0	0	0	0	0	0	0	0	8.429997732	0	0	0	0.82522966	0	0	0	0
QD_2021_02_bin_108	Bacteroidetes	15.34153408	25.20461724	95.67505349	37.91886263	37.50128878	25.05289898	16.31799017	10.17906808	34.24779007	42.71781209	23.38365078	5.271352033	16.44196903	15.28810981	35.17818869	6.987707525	8.39897602	7.670452738	18.91906274	23.21984059	14.07753527	4.297472515	3.438701105	7.370908789	30.93544752	47.37450992	36.41203386	0	2.802377475	2.240245035	39.73536061	39.50432589	0.433331508	1.184026978	1.45218958	1.083833226
QD_2021_04_bin_33	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.70387796	13.82492969	0	8.760135833	0	0	0.604500314	0	0	0	0	0
QD_2020_12_bin_86	Bacteroidetes	27.22410124	14.70253278	105.4910577	22.37820958	15.33476558	32.97857958	15.19678161	7.73890013	19.10049787	79.24149596	20.32091354	12.58768675	17.82208915	21.49106494	86.3536032	10.22922915	8.725850309	7.81772291	17.9131796	12.26794	9.607550132	1.141457151	0.964568005	2.800774284	25.56749148	6.504875119	18.20464556	44.75750305	1.871434315	0.910057019	0.997144533	18.20009541	0	0.051647194	0	0
QD_2020_08_bin_100	Bacteroidetes	16.50117032	5.57557843	3.227634967	7.933827114	0.460581673	5.892483095	0.167166203	0	0.221899362	6.463093181	0.136102937	0	0.979947363	0	6.308692164	0	0	0	0	0	0.071833296	0	0	0	5.172934521	3.491479946	0.708775982	3.201947828	0	0	3.067553727	3.511832492	0	0	0	0
QD_2020_12_bin_84	Bacteroidetes	10.94183234	23.51446767	16.78190373	22.18699602	20.36993433	15.90677776	11.94795716	6.894569355	17.79112572	10.88975419	14.78007373	5.625185143	9.554085221	8.291093674	30.28303399	5.597507886	7.464050624	5.840609075	6.184355937	16.49202724	14.00103022	1.441364041	1.163028736	3.13271766	27.80542046	24.79272343	29.95334327	0	3.020938737	1.785578997	34.34936177	36.36796428	0	0.624866132	1.716137818	0.905810417
QD_2020_12_bin_36	Bacteroidetes	1.822083341	0	1.259338374	1.338886241	5.669894742	6.353665342	21.28655966	27.65550974	7.89113295	6.529879123	16.71432758	7.995285558	21.79405369	16.27207343	11.01196873	11.80221494	21.02110237	12.5382984	12.03030049	17.75995619	36.6523037	25.78493171	16.17889186	36.18528517	5.96750419	7.914714489	7.818573393	4.863435528	3.551958002	1.732258208	3.971702363	5.392895539	1.23371397	2.455568588	3.26713645	3.926713721
QD_2021_02_bin_190	Bacteroidetes	0	0	0.277790192	5.082364368	6.260440312	0	0	0	0	0	0	0	1.786461435	3.096114201	6.282145283	0.299228179	0.981625602	0.239650346	39.88275359	2.480460874	9.048681434	20.8885121	13.4526133	80.99404646	34.30707507	25.99634254	9.020155316	2.643330557	0	0	0	0	0	0	0	0
QD_2021_04_bin_76	Bacteroidetes	1.662322023	4.581108164	4.341064835	2.057321521	4.42655457	3.615525453	3.202016527	5.784313881	3.583475638	3.562146958	5.007497868	17.14034432	3.14680904	4.180357107	7.164576361	8.333219743	7.409217547	6.688147091	3.726239096	15.28921396	8.285669032	36.74523186	36.99077953	19.06842739	10.78213874	8.689274822	23.536263	0	20.66609914	17.87253963	7.732412526	11.06702096	19.97081766	18.58364598	15.4032516	22.64566735
QD_2021_02_bin_64	Bacteroidetes	0	0	0	1.670770166	1.333877253	0.708961235	0	0	0	1.572862322	0.362635935	0.386242339	0	0	0	0	0	0	12.03940157	128.2470699	27.97601594	125.235585	78.28360872	47.9649346	4.847314314	29.48173976	86.59048455	65.73716028	1.643126374	0.933947178	0	8.350303859	0	0.429833833	0.51525582	0.425517721
QD_2021_04_bin_137	Bacteroidetes	0.563056345	0	1.566601133	6.963878681	6.8022287	2.086063325	0	1.031956864	2.738701164	4.526311392	0.528173277	0.245162753	0	0.211910998	0.699732187	0.403028711	0.768532091	0.918450725	7.218648633	13.41202865	13.59913254	36.28303481	41.76360425	28.33213634	12.39373618	13.38855748	24.07867621	1.282942963	1.791139273	0.651791913	2.232469954	1.309427771	0.269535861	1.016363085	0.531462992	1.466961381
QD_2021_06_bin_15	Bacteroidetes	0.38135274	2.406633208	1.043445205	0.731071452	1.345456647	0.863645782	0.621835084	1.569511953	1.013005645	1.638672671	1.110835597	3.718311797	0.70918688	1.125192445	2.549713421	3.299660285	2.62632706	1.890959151	0.863532637	2.694844676	1.754118272	9.178527115	9.241237835	6.054183731	2.898629454	1.695874933	6.537235562	35.05053247	5.823162538	5.497074325	3.694763791	3.133504886	11.84089126	8.899475589	8.028513631	11.22264235
QD_2021_02_bin_27	Bacteroidetes	1.181972533	4.646738114	2.899279082	1.95749798	5.648605181	3.604740689	4.950181312	5.821456756	5.888911282	3.686388311	5.156406194	10.81279895	4.394997554	7.766779829	8.634946376	8.808516038	7.745988801	9.508624635	6.247963926	13.11500935	12.62268058	29.00874871	28.54026924	22.63381894	5.120189066	4.24058707	16.69804712	0	11.24888905	10.81131491	7.451349134	7.4087775	12.16558057	10.80084333	10.36872719	11.02553567
QD_2021_02_bin_36	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.127240993	69.77274933	8.158656019	41.5199495	26.8076117	16.4970967	0	0.06459596	18.81326978	0	0.721883851	0.252364481	0	5.537929111	0	0	0	0
QD_2021_02_bin_116	Bacteroidetes	5.847257689	0.304636661	4.611293658	40.12070967	19.75457375	5.089043033	1.394985507	5.309424538	7.927483792	4.008237607	1.810839987	0.557116481	4.969765484	8.127719665	13.03060923	7.531165041	9.149374875	8.686380872	32.14919468	21.7243223	34.32944093	75.85488519	76.57514695	82.19279677	84.98059959	75.03734073	61.29350711	0	2.042142078	0.623663541	14.3264922	6.600723935	0.23609509	2.175539218	1.321686873	2.944618385
QD_2020_12_bin_85	Bacteroidetes	2.771948424	0.005178854	1.864762616	7.768979345	5.237657939	1.497215375	5.296894413	13.52688137	3.913730154	3.378854698	1.001858045	0	11.32935811	11.29588694	17.84132471	2.025065139	2.102968982	3.422742612	9.095403887	4.19702277	7.407780858	9.365298382	10.7579703	11.80014522	13.44731138	18.96955039	9.743955094	0	0.370132287	0	10.00725788	1.4321506	0	0.860011061	0.572232562	1.886592806
